branch,run_id,run_status,source_kind,manifest_commit,manifest_command,source_path,test,label,category,avg,std,unit,batch,runs,sample_count,sample_values
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,COW_PARTIAL,COW Write 30%,cow,9.0,0.0,ticks,20,10,10,"9,9,9,9,10,10,10,10,10,10"
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,COW_READONLY,COW Read Only,cow,147.0,2.0,ticks,300,10,10,"146,146,146,147,147,148,148,150,151,155"
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,LAZY_FULL,Lazy Access 100%,lazy,4.0,0.0,ticks,50,10,10,"4,4,4,5,5,5,5,5,5,5"
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,LAZY_HALF,Lazy Access 50%,lazy,5.0,0.0,ticks,50,10,10,"5,5,5,5,5,5,5,5,5,5"
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,LAZY_SPARSE,Lazy Access 1%,lazy,215.0,3.0,ticks,2400,10,10,"211,211,212,215,215,217,218,218,219,228"
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,SYS_FREE_PAGES,Free Physical Pages,system,32563.0,0.0,pages,1,1,0,
baseline,run03,complete,clean,b974bf7bc8888d251e682355e443d279879a1de4-dirty,perftest memory,experiments/logs/thesis_final/baseline/runs/run03_clean.log,SYS_TOTAL_PAGES,Total Physical Pages,system,32734.0,0.0,pages,1,1,0,
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,16384.0,0.0,kb,1,1,1,16384
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,COW_FULLWRITE,COW Write 100%,cow,32.0,3.0,ticks,20,10,10,"29,30,30,30,31,31,34,34,38,39"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,COW_NO_ACCESS,COW No Access,cow,11.0,2.0,ticks,300,10,10,"10,10,10,11,11,11,13,13,14,15"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,COW_PARTIAL,COW Write 30%,cow,9.0,1.0,ticks,20,10,10,"9,9,9,9,10,10,10,10,11,13"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,COW_READONLY,COW Read Only,cow,11.0,0.0,ticks,300,10,10,"10,11,11,11,11,11,12,12,12,13"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,LAZY_FULL,Lazy Access 100%,lazy,14.0,0.0,ticks,50,10,10,"14,14,14,14,14,15,15,15,15,16"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,LAZY_HALF,Lazy Access 50%,lazy,7.0,0.0,ticks,50,10,10,"6,7,7,7,7,7,7,8,8,9"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,LAZY_SPARSE,Lazy Access 1%,lazy,12.0,0.0,ticks,2400,10,10,"11,11,11,12,12,12,13,13,13,15"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,MMAP_FULL,mmap Access 100%,mmap,19.0,2.0,ticks,50,10,10,"16,16,17,18,19,20,21,22,22,24"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,MMAP_SPARSE,mmap Access 1%,mmap,13.0,1.0,ticks,2400,10,10,"12,13,13,14,14,14,14,14,15,16"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_CONVOY_FCFS,Convoy FCFS,scheduler,32.0,0.0,ticks,4,10,10,"26,31,32,32,32,33,33,33,33,35"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_CONVOY_RR,Convoy RR,scheduler,16.0,0.0,ticks,4,10,10,"15,15,15,16,16,16,17,17,17,19"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_CONVOY_SRTF,Convoy SRTF,scheduler,24.0,0.0,ticks,4,10,10,"24,24,24,24,24,24,24,25,25,27"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_FAIRNESS_CFS,Fairness CFS,scheduler,593.0,156.0,bp,3,10,10,"0,500,500,526,555,555,555,555,1000,1052"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_FAIRNESS_PRIORITY,Fairness PRIORITY,scheduler,10612.0,233.0,bp,3,10,10,"10000,10000,10666,10666,10714,10714,10714,10714,10714,10714"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_FAIRNESS_RR,Fairness RR,scheduler,524.0,146.0,bp,3,10,10,"434,454,454,476,476,476,476,476,909,909"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_RESPONSE_MLFQ,Response MLFQ,scheduler,5.0,0.0,ticks,6,10,10,"5,5,5,5,5,5,5,5,5,5"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_RESPONSE_RR,Response RR,scheduler,15.0,1.0,ticks,6,10,10,"11,13,15,15,16,16,16,17,17,21"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_THROUGHPUT_FCFS,Throughput FCFS,scheduler,42.0,3.0,ticks,6,10,10,"38,39,40,42,43,43,44,44,47,47"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_THROUGHPUT_RR,Throughput RR,scheduler,21.0,1.0,ticks,6,10,10,"19,20,20,20,21,21,21,22,24,25"
testing,run01,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run01_clean.log,SCHED_THROUGHPUT_SJF,Throughput SJF,scheduler,49.0,4.0,ticks,6,10,10,"41,45,45,47,48,50,51,54,57,62"
